"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.053261,0.051053,0.19,1e+05,5105,95854,6220573,62.21
"1-4",0.003568,0.014146,1.5,94895,1342,376224,6124719,64.54
"5-9",0.001372,0.006837,2.5,93552,640,466160,5748495,61.45
"10-14",0.001062,0.005294,2.5,92913,492,463332,5282334,56.85
"15-19",0.002027,0.010085,2.5,92421,932,459770,4819002,52.14
"20-24",0.002861,0.014202,2.49,91489,1299,454187,4359232,47.65
"25-29",0.002941,0.014596,2.49,90189,1316,447648,3905045,43.3
"30-34",0.003328,0.016504,2.49,88873,1467,440688,3457397,38.9
"35-39",0.004227,0.020911,2.49,87406,1828,432446,3016709,34.51
"40-44",0.005739,0.028288,2.49,85579,2421,421811,2584263,30.2
"45-49",0.008355,0.040916,2.48,83158,3402,407223,2162451,26
"50-54",0.012553,0.060836,2.47,79755,4852,386519,1755228,22.01
"55-59",0.018979,0.090532,2.46,74903,6781,357295,1368709,18.27
"60-64",0.02924,0.136017,2.44,68122,9266,316882,1011414,14.85
"65-69",0.044548,0.199676,2.41,58856,11752,263811,694532,11.8
"70-74",0.068439,0.289791,2.36,47104,13650,199452,430721,9.14
"75-79",0.105552,0.410074,2.28,33454,13719,129970,231268,6.91
"80-84",0.160327,0.551406,2.17,19735,10882,67874,101299,5.13
"85-89",0.238491,0.696525,2.01,8853,6166,25856,33424,3.78
"90-94",0.336568,0.814155,1.83,2687,2187,6499,7568,2.82
"95-99",0.456472,0.897957,1.62,499,448,982,1069,2.14
"100-104",0.579783,0.944917,1.43,51,48,83,87,1.71
"105-109",0.695287,0.969083,1.28,3,3,4,4,1.43
"110+",0.779742,1,1.28,0,0,0,0,1.28
