"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.043838,0.042286,0.16,1e+05,4229,96459,6560364,65.6
"1-4",0.002709,0.010764,1.53,95771,1031,380537,6463905,67.49
"5-9",0.000968,0.004828,2.5,94741,457,472558,6083368,64.21
"10-14",0.00078,0.003893,2.5,94283,367,470497,5610810,59.51
"15-19",0.001514,0.007541,2.5,93916,708,467808,5140312,54.73
"20-24",0.001995,0.009924,2.5,93208,925,463723,4672505,50.13
"25-29",0.001957,0.009735,2.5,92283,898,459165,4208782,45.61
"30-34",0.002187,0.010878,2.5,91384,994,454433,3749617,41.03
"35-39",0.002821,0.014005,2.49,90390,1266,448780,3295184,36.46
"40-44",0.003959,0.019602,2.49,89125,1747,441241,2846405,31.94
"45-49",0.006087,0.029976,2.49,87377,2619,430306,2405164,27.53
"50-54",0.009651,0.047107,2.48,84758,3993,413729,1974858,23.3
"55-59",0.015445,0.074319,2.47,80766,6002,388628,1561129,19.33
"60-64",0.024711,0.116225,2.45,74763,8689,351645,1172500,15.68
"65-69",0.039085,0.177515,2.42,66074,11729,300092,820855,12.42
"70-74",0.061821,0.265898,2.37,54345,14450,233740,520763,9.58
"75-79",0.098173,0.387904,2.3,39895,15475,157632,287023,7.19
"80-84",0.152255,0.532929,2.19,24419,13014,85473,129391,5.3
"85-89",0.2323,0.686984,2.03,11406,7835,33730,43918,3.85
"90-94",0.331587,0.809468,1.84,3570,2890,8715,10188,2.85
"95-99",0.451066,0.895161,1.63,680,609,1350,1473,2.17
"100-104",0.574965,0.943574,1.44,71,67,117,123,1.72
"105-109",0.691455,0.968485,1.28,4,4,6,6,1.44
"110+",0.776907,1,1.29,0,0,0,0,1.29
