"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.083316,0.07864,0.29,1e+05,7864,94387,5932755,59.33
"1-4",0.008966,0.035046,1.4,92136,3229,360134,5838367,63.37
"5-9",0.0025,0.01242,2.49,88907,1104,441769,5478233,61.62
"10-14",0.001676,0.008344,2.5,87803,733,437180,5036464,57.36
"15-19",0.002374,0.011799,2.5,87070,1027,432777,4599284,52.82
"20-24",0.002984,0.014808,2.49,86043,1274,427021,4166507,48.42
"25-29",0.003493,0.017314,2.49,84769,1468,420164,3739486,44.11
"30-34",0.004137,0.020473,2.49,83301,1705,412227,3319323,39.85
"35-39",0.005067,0.025015,2.49,81596,2041,402854,2907096,35.63
"40-44",0.006263,0.030831,2.49,79554,2453,391609,2504242,31.48
"45-49",0.007851,0.038492,2.48,77102,2968,378041,2112633,27.4
"50-54",0.010742,0.052292,2.48,74134,3877,360891,1734592,23.4
"55-59",0.015074,0.072601,2.47,70257,5101,338375,1373701,19.55
"60-64",0.023507,0.110892,2.45,65157,7225,307366,1035326,15.89
"65-69",0.036974,0.168789,2.42,57931,9778,264458,727961,12.57
"70-74",0.061217,0.263675,2.37,48153,12697,207407,463503,9.63
"75-79",0.098414,0.388641,2.3,35456,13780,140018,256096,7.22
"80-84",0.151874,0.532038,2.19,21677,11533,75936,116078,5.36
"85-89",0.225598,0.676316,2.04,10144,6860,30410,40142,3.96
"90-94",0.317262,0.79532,1.87,3283,2611,8231,9732,2.96
"95-99",0.436186,0.887064,1.66,672,596,1367,1501,2.23
"100-104",0.558993,0.938883,1.46,76,71,127,134,1.77
"105-109",0.677492,0.966206,1.3,5,4,7,7,1.47
"110+",0.766484,1,1.3,0,0,0,0,1.3
