"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.036794,0.03567,0.14,1e+05,3567,96946,6722936,67.23
"1-4",0.002136,0.008499,1.55,96433,820,383722,6625990,68.71
"5-9",0.000778,0.003881,2.5,95613,371,477139,6242269,65.29
"10-14",0.000648,0.003235,2.5,95242,308,475441,5765130,60.53
"15-19",0.001308,0.006517,2.5,94934,619,473123,5289689,55.72
"20-24",0.001695,0.008439,2.5,94315,796,469585,4816567,51.07
"25-29",0.001643,0.008181,2.5,93520,765,465683,4346982,46.48
"30-34",0.001836,0.009139,2.5,92755,848,461650,3881299,41.84
"35-39",0.00239,0.011881,2.5,91907,1092,456799,3419649,37.21
"40-44",0.00341,0.016908,2.49,90815,1535,450225,2962850,32.63
"45-49",0.005366,0.026474,2.49,89279,2364,440461,2512626,28.14
"50-54",0.008692,0.042531,2.48,86916,3697,425270,2072164,23.84
"55-59",0.014212,0.068594,2.47,83219,5708,401656,1646894,19.79
"60-64",0.023032,0.108778,2.45,77511,8431,366071,1245238,16.07
"65-69",0.036902,0.168486,2.42,69079,11639,315405,879167,12.73
"70-74",0.058875,0.255002,2.38,57440,14647,248790,563762,9.81
"75-79",0.094383,0.376192,2.3,42793,16098,170565,314972,7.36
"80-84",0.147501,0.521695,2.2,26695,13926,94416,144407,5.41
"85-89",0.227271,0.679013,2.04,12768,8670,38147,49991,3.92
"90-94",0.326791,0.804844,1.85,4098,3299,10094,11844,2.89
"95-99",0.44589,0.892412,1.64,800,714,1601,1750,2.19
"100-104",0.570362,0.94226,1.45,86,81,142,149,1.74
"105-109",0.687831,0.967908,1.29,5,5,7,7,1.45
"110+",0.774247,1,1.29,0,0,0,0,1.29
