"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.030435,0.029657,0.14,1e+05,2966,97444,7227783,72.28
"1-4",0.001936,0.007707,1.48,97034,748,386250,7130339,73.48
"5-9",0.00044,0.002195,2.5,96286,211,480904,6744089,70.04
"10-14",0.000309,0.001543,2.5,96075,148,480005,6263185,65.19
"15-19",0.000455,0.002275,2.5,95927,218,479089,5783180,60.29
"20-24",0.000561,0.002803,2.5,95709,268,477872,5304092,55.42
"25-29",0.000702,0.003502,2.5,95440,334,476366,4826220,50.57
"30-34",0.000961,0.004796,2.5,95106,456,474390,4349854,45.74
"35-39",0.001437,0.007158,2.5,94650,677,471555,3875465,40.95
"40-44",0.002203,0.010955,2.5,93973,1030,467284,3403910,36.22
"45-49",0.003445,0.017075,2.49,92943,1587,460736,2936626,31.6
"50-54",0.005329,0.026296,2.49,91356,2402,450748,2475889,27.1
"55-59",0.0082,0.040169,2.48,88954,3573,435775,2025141,22.77
"60-64",0.013774,0.066551,2.47,85381,5682,412534,1589367,18.62
"65-69",0.02354,0.111036,2.45,79698,8849,375935,1176832,14.77
"70-74",0.042079,0.189737,2.41,70849,13443,319461,800898,11.3
"75-79",0.07418,0.309888,2.35,57406,17790,239815,481437,8.39
"80-84",0.123522,0.460769,2.24,39617,18254,147781,241622,6.1
"85-89",0.195206,0.623196,2.1,21363,13313,68200,93841,4.39
"90-94",0.290426,0.765929,1.92,8050,6165,21229,25641,3.19
"95-99",0.413429,0.873454,1.69,1884,1646,3981,4412,2.34
"100-104",0.545377,0.934577,1.48,238,223,409,432,1.81
"105-109",0.672333,0.965323,1.31,16,15,22,23,1.48
"110+",0.766957,1,1.3,1,1,1,1,1.3
