"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.078094,0.073891,0.27,1e+05,7389,94618,5946319,59.46
"1-4",0.008068,0.031609,1.4,92611,2927,362842,5851701,63.19
"5-9",0.002552,0.012677,2.49,89684,1137,445569,5488859,61.2
"10-14",0.001773,0.008827,2.5,88547,782,440776,5043290,56.96
"15-19",0.002594,0.012888,2.49,87765,1131,435991,4602514,52.44
"20-24",0.003281,0.016273,2.49,86634,1410,429635,4166523,48.09
"25-29",0.003814,0.018891,2.49,85224,1610,422083,3736887,43.85
"30-34",0.004448,0.021995,2.49,83614,1839,413456,3314805,39.64
"35-39",0.005368,0.026482,2.49,81775,2166,403437,2901349,35.48
"40-44",0.006536,0.032154,2.49,79609,2560,391613,2497912,31.38
"45-49",0.008129,0.039829,2.48,77050,3069,377525,2106299,27.34
"50-54",0.011022,0.053618,2.48,73981,3967,359897,1728774,23.37
"55-59",0.015383,0.074033,2.47,70014,5183,336947,1368877,19.55
"60-64",0.023646,0.111508,2.45,64831,7229,305725,1031931,15.92
"65-69",0.036994,0.168872,2.42,57602,9727,262941,726205,12.61
"70-74",0.060731,0.261886,2.37,47874,12538,206444,463264,9.68
"75-79",0.097414,0.385576,2.3,35337,13625,139867,256820,7.27
"80-84",0.150446,0.528686,2.19,21712,11479,76298,116953,5.39
"85-89",0.224446,0.674447,2.04,10233,6902,30750,40656,3.97
"90-94",0.316015,0.79404,1.87,3331,2645,8371,9906,2.97
"95-99",0.435278,0.88655,1.66,686,608,1397,1535,2.24
"100-104",0.558636,0.938774,1.46,78,73,131,138,1.77
"105-109",0.677525,0.966211,1.3,5,5,7,7,1.47
"110+",0.766746,1,1.3,0,0,0,0,1.3
