"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.032316,0.031434,0.13,1e+05,3143,97271,6761700,67.62
"1-4",0.001803,0.007181,1.56,96857,695,385729,6664429,68.81
"5-9",0.000707,0.00353,2.5,96161,339,479956,6278700,65.29
"10-14",0.000603,0.003009,2.5,95822,288,478387,5798743,60.52
"15-19",0.001274,0.00635,2.5,95533,607,476148,5320356,55.69
"20-24",0.001685,0.008388,2.5,94927,796,472640,4844208,51.03
"25-29",0.001654,0.008237,2.5,94130,775,468711,4371568,46.44
"30-34",0.001863,0.009272,2.5,93355,866,464608,3902857,41.81
"35-39",0.002435,0.012102,2.49,92490,1119,459644,3438249,37.17
"40-44",0.003483,0.017263,2.49,91370,1577,452896,2978605,32.6
"45-49",0.005474,0.027001,2.49,89793,2424,442876,2525709,28.13
"50-54",0.008839,0.043234,2.48,87368,3777,427330,2082833,23.84
"55-59",0.014376,0.069359,2.47,83591,5798,403288,1655503,19.8
"60-64",0.023172,0.109401,2.45,77793,8511,367280,1252215,16.1
"65-69",0.036927,0.168591,2.42,69283,11680,316315,884936,12.77
"70-74",0.058551,0.253796,2.38,57602,14619,249683,568621,9.87
"75-79",0.093394,0.373102,2.31,42983,16037,171714,318938,7.42
"80-84",0.145628,0.517193,2.2,26946,13936,95698,147225,5.46
"85-89",0.223936,0.673616,2.04,13010,8764,39134,51527,3.96
"90-94",0.323061,0.80117,1.85,4246,3402,10530,12393,2.92
"95-99",0.441877,0.890232,1.65,844,752,1701,1863,2.21
"100-104",0.566797,0.941222,1.45,93,87,154,162,1.75
"105-109",0.685042,0.967458,1.29,5,5,8,8,1.45
"110+",0.772212,1,1.29,0,0,0,0,1.29
