"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.039236,0.037988,0.16,1e+05,3799,96820,7021908,70.22
"1-4",0.002781,0.011045,1.46,96201,1063,382108,6925088,71.99
"5-9",0.000619,0.003088,2.5,95139,294,474958,6542980,68.77
"10-14",0.000424,0.002116,2.5,94845,201,473722,6068021,63.98
"15-19",0.00061,0.003044,2.5,94644,288,472500,5594299,59.11
"20-24",0.000755,0.00377,2.5,94356,356,470890,5121799,54.28
"25-29",0.000938,0.004679,2.5,94000,440,468901,4650909,49.48
"30-34",0.001255,0.006255,2.5,93560,585,466338,4182008,44.7
"35-39",0.001814,0.009028,2.5,92975,839,462774,3715671,39.96
"40-44",0.002678,0.013303,2.49,92136,1226,457608,3252896,35.31
"45-49",0.00403,0.019946,2.49,90910,1813,450002,2795288,30.75
"50-54",0.006106,0.030071,2.49,89097,2679,438752,2345286,26.32
"55-59",0.009256,0.045224,2.48,86418,3908,422243,1906534,22.06
"60-64",0.015417,0.074189,2.47,82510,6121,397048,1484291,17.99
"65-69",0.026052,0.122134,2.45,76388,9330,358111,1087243,14.23
"70-74",0.046078,0.205778,2.4,67059,13799,299472,729132,10.87
"75-79",0.079949,0.329509,2.33,53259,17549,219508,429661,8.07
"80-84",0.130878,0.480242,2.23,35710,17149,131033,210152,5.88
"85-89",0.20358,0.638647,2.08,18561,11854,58226,79119,4.26
"90-94",0.298528,0.775221,1.9,6707,5199,17417,20893,3.12
"95-99",0.420766,0.878012,1.68,1508,1324,3146,3476,2.31
"100-104",0.550339,0.93618,1.48,184,172,313,330,1.8
"105-109",0.67472,0.965734,1.3,12,11,17,17,1.48
"110+",0.767534,1,1.3,0,0,1,1,1.3
