"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.055953,0.053584,0.21,1e+05,5358,95765,6418614,64.19
"1-4",0.00475,0.018773,1.44,94642,1777,374013,6322849,66.81
"5-9",0.001588,0.007908,2.5,92865,734,462486,5948836,64.06
"10-14",0.001156,0.005763,2.5,92131,531,459324,5486350,59.55
"15-19",0.001761,0.008766,2.5,91600,803,455988,5027025,54.88
"20-24",0.002233,0.011101,2.5,90797,1008,451459,4571038,50.34
"25-29",0.002632,0.013075,2.49,89789,1174,446002,4119579,45.88
"30-34",0.003151,0.015632,2.49,88615,1385,439601,3673577,41.46
"35-39",0.003969,0.019651,2.49,87229,1714,431848,3233976,37.07
"40-44",0.005065,0.025007,2.49,85515,2138,422208,2802128,32.77
"45-49",0.006667,0.032788,2.49,83377,2734,410012,2379920,28.54
"50-54",0.009283,0.045355,2.48,80643,3658,394001,1969908,24.43
"55-59",0.013242,0.064064,2.47,76986,4932,372462,1575907,20.47
"60-64",0.020514,0.097485,2.46,72054,7024,342407,1203445,16.7
"65-69",0.032755,0.151068,2.43,65029,9824,299917,861038,13.24
"70-74",0.054558,0.238746,2.39,55206,13180,241581,561121,10.16
"75-79",0.089731,0.361514,2.31,42025,15193,169315,319539,7.6
"80-84",0.141597,0.507365,2.21,26833,13614,96146,150225,5.6
"85-89",0.215681,0.659863,2.06,13219,8723,40442,54079,4.09
"90-94",0.30845,0.786101,1.88,4496,3534,11459,13637,3.03
"95-99",0.429306,0.883111,1.67,962,849,1978,2178,2.27
"100-104",0.55561,0.93784,1.47,112,105,190,200,1.78
"105-109",0.676865,0.966099,1.3,7,7,10,10,1.47
"110+",0.767574,1,1.3,0,0,0,0,1.3
