"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.074015,0.070091,0.24,1e+05,7009,94699,5872342,58.72
"1-4",0.005821,0.022943,1.44,92991,2133,366507,5777644,62.13
"5-9",0.002028,0.010087,2.5,90857,917,451992,5411136,59.56
"10-14",0.001464,0.007296,2.5,89941,656,448062,4959144,55.14
"15-19",0.002562,0.01273,2.49,89285,1137,443576,4511082,50.52
"20-24",0.003651,0.018087,2.49,88148,1594,436743,4067506,46.14
"25-29",0.003757,0.018612,2.49,86554,1611,428729,3630764,41.95
"30-34",0.004211,0.020834,2.49,84943,1770,420274,3202035,37.7
"35-39",0.005245,0.025885,2.49,83173,2153,410460,2781760,33.45
"40-44",0.006937,0.034089,2.49,81020,2762,398156,2371301,29.27
"45-49",0.009731,0.047488,2.48,78258,3716,381925,1973145,25.21
"50-54",0.014158,0.068344,2.47,74542,5094,359823,1591220,21.35
"55-59",0.02074,0.098503,2.46,69447,6841,329840,1231397,17.73
"60-64",0.031498,0.145716,2.43,62607,9123,289628,901557,14.4
"65-69",0.047343,0.210782,2.4,53484,11273,238125,611929,11.44
"70-74",0.072488,0.304025,2.35,42210,12833,177036,373805,8.86
"75-79",0.110921,0.425702,2.27,29377,12506,112746,196769,6.7
"80-84",0.167418,0.567031,2.16,16871,9567,57142,84023,4.98
"85-89",0.246473,0.708398,2,7305,5175,20995,26881,3.68
"90-94",0.344058,0.820986,1.82,2130,1749,5083,5886,2.76
"95-99",0.464699,0.902069,1.61,381,344,740,803,2.11
"100-104",0.587159,0.946912,1.42,37,35,60,63,1.69
"105-109",0.70126,0.969992,1.27,2,2,3,3,1.42
"110+",0.784224,1,1.28,0,0,0,0,1.28
