"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.038341,0.037146,0.16,1e+05,3715,96881,7029466,70.29
"1-4",0.002689,0.010682,1.46,96285,1029,382533,6932585,72
"5-9",0.000619,0.003092,2.5,95257,295,475548,6550052,68.76
"10-14",0.000428,0.00214,2.5,94962,203,474304,6074504,63.97
"15-19",0.000622,0.003107,2.5,94759,294,473059,5600201,59.1
"20-24",0.000772,0.003852,2.5,94465,364,471414,5127141,54.28
"25-29",0.000956,0.00477,2.5,94101,449,469381,4655728,49.48
"30-34",0.001275,0.006353,2.5,93652,595,466771,4186346,44.7
"35-39",0.001836,0.009137,2.5,93057,850,463157,3719575,39.97
"40-44",0.002702,0.013417,2.49,92207,1237,457934,3256418,35.32
"45-49",0.004056,0.020077,2.49,90970,1826,450267,2798484,30.76
"50-54",0.006134,0.030203,2.49,89143,2692,438951,2348217,26.34
"55-59",0.009284,0.045358,2.48,86451,3921,422376,1909266,22.08
"60-64",0.015406,0.074137,2.47,82530,6119,397156,1486890,18.02
"65-69",0.02599,0.121861,2.45,76411,9312,358273,1089734,14.26
"70-74",0.045864,0.204928,2.4,67100,13751,299809,731462,10.9
"75-79",0.079528,0.328098,2.33,53349,17504,220093,431653,8.09
"80-84",0.130265,0.478647,2.23,35845,17157,131710,211559,5.9
"85-89",0.202935,0.63748,2.08,18688,11913,58705,79850,4.27
"90-94",0.297824,0.774429,1.9,6775,5247,17616,21145,3.12
"95-99",0.42014,0.877629,1.68,1528,1341,3192,3528,2.31
"100-104",0.549928,0.936049,1.48,187,175,318,336,1.8
"105-109",0.674532,0.965702,1.3,12,12,17,18,1.48
"110+",0.7675,1,1.3,0,0,1,1,1.3
