"","mx","qx","ax","lx","dx","Lx","Tx","ex"
"0",0.065401,0.062228,0.22,1e+05,6223,95150,6065000,60.65
"1-4",0.004827,0.019074,1.47,93777,1789,370578,5969851,63.66
"5-9",0.001686,0.008396,2.5,91988,772,458009,5599273,60.87
"10-14",0.001252,0.006238,2.5,91216,569,454656,5141264,56.36
"15-19",0.002241,0.011144,2.5,90647,1010,450705,4686608,51.7
"20-24",0.003126,0.015507,2.49,89637,1390,444700,4235903,47.26
"25-29",0.003178,0.015763,2.49,88247,1391,437748,3791202,42.96
"30-34",0.003559,0.017639,2.49,86856,1532,430438,3353455,38.61
"35-39",0.004474,0.02212,2.49,85324,1887,421883,2923017,34.26
"40-44",0.006007,0.02959,2.49,83436,2469,410979,2501134,29.98
"45-49",0.008632,0.042244,2.48,80968,3420,396226,2090155,25.81
"50-54",0.012849,0.062223,2.47,77547,4825,375544,1693929,21.84
"55-59",0.019271,0.09186,2.46,72722,6680,346641,1318385,18.13
"60-64",0.029671,0.137875,2.44,66042,9106,306882,971744,14.71
"65-69",0.045193,0.202255,2.41,56936,11516,254809,664861,11.68
"70-74",0.069763,0.294478,2.35,45421,13375,191725,410052,9.03
"75-79",0.107778,0.416603,2.28,32045,13350,123868,218328,6.81
"80-84",0.163769,0.55906,2.16,18695,10452,63820,94460,5.05
"85-89",0.243279,0.703703,2.01,8243,5801,23845,30640,3.72
"90-94",0.341386,0.818578,1.82,2442,1999,5857,6796,2.78
"95-99",0.461746,0.900613,1.61,443,399,864,939,2.12
"100-104",0.584504,0.946202,1.43,44,42,71,75,1.7
"105-109",0.699091,0.969665,1.27,2,2,3,3,1.43
"110+",0.782585,1,1.28,0,0,0,0,1.28
